,economic_object_code,description_en,category
524,174,Employer contribution to hospital and medical plans,9_human_capital
525,253,Public servant travel -Â Internal governance,7_travel
526,173,Employer contribution to other pension programs including Judges Act,9_human_capital
527,2035,Assistance to immigrants and refugees,7_travel
528,524,Rental of computer software,3_information_technology
529,323,Other Professional Services and Related Costs,2_professional_services
530,416,Management Consulting,2_professional_services
531,924,Acquisition of Server Operating System and Utility Software,3_information_technology
532,327,Data and Database Access Services,9_human_capital
533,408,Management Consulting,2_professional_services
534,324,Other Professional Services and Related Costs,2_professional_services
535,470,Other Professional Services and Related Costs,2_professional_services
536,411,Information Technology Specialists,2_professional_services
537,920,Data and Database Access Services,9_human_capital
538,462,Other Professional Services and Related Costs,2_professional_services
539,434,Other Professional Services and Related Costs,2_professional_services
540,521,Renewal of Annual Licenses/Maintenance for Software - Application Sofware,3_information_technology
541,715,Other Miscellaneous Products and Goods,10_office_management
542,911,Acquisition of Computer Equipment related to Distributed Computing Environment,3_information_technology
543,409,Program Evaluation and Program Audit,2_professional_services
544,326,Electronic-Web Services Subscriptions and Publications,9_human_capital
545,915,"Acquisition of Computer Equipment related to Production and Operations (P&O) environment - Servers, Storage (includes related parts and peripherals)",3_information_technology
546,507,Rental of AV and interpreting equipment,1_facilities_and_construction
547,502,Rental of Meeting Room and Office Space,1_facilities_and_construction
548,400,Research Services,2_professional_services
549,40,Business Services,2_professional_services
550,608,"Runways, landing fields and tarmac",1_facilities_and_construction
551,459,Miscellaneous,4_medical
552,681,Road motor vehicles-Military,11_defence
553,45,Health and Welfare Services,4_medical
554,1112,"Meat, fish and their preparations",10_office_management
555,1114,"Vegetables and fruits, edible products, fats and preparations",10_office_management
556,513,Rental of institutional buildings,1_facilities_and_construction
557,1357,"Hospitals, sanatoria, clinics and first-aid stations",1_facilities_and_construction
558,1363,"Armouries, barracks, drill halls, etc.",1_facilities_and_construction
559,30,ADVERTISING SERVICES,2_professional_services
560,1175,Precious metals &amp; stones and its products,6_industrial_products_and_services
561,70,Utility Services,10_office_management
562,7229,7229 V1 MESS/GALLEY UTENSILS CUTLERY GLASSWARE,6_industrial_products_and_services
563,9235,9235 V1 PLUMBING SUPPLIES,6_industrial_products_and_services
564,7219,7219 V1 CONSTRUCTION ENGIN MAT NOT ELSEWHERE SPECIFIED,6_industrial_products_and_services
565,7232,"7232 V1 FABRICATED MATERIAL TEXTILE, INSUL, PROTECT",6_industrial_products_and_services
566,7410,7410 V1 TOOLS & EQP'T INCLUDING HAND TOOLS & CUTTING INS,6_industrial_products_and_services
567,7202,7202 V1 LUMBER AND GENERAL WOOD PRODUCTS,6_industrial_products_and_services
568,9130,"9130 - Liquid Propellants and Fuels, Petroleum Base",5_transportation_and_logistics
569,5999,5999 - Miscellaneous Electrical and Electronic Components,1_facilities_and_construction
570,86,Temporary Help Services,2_professional_services
571,48,MANAGEMENT CONSULTING,2_professional_services
572,6012,Contributions by government-As employer,9_human_capital
573,8295,Other payments,
574,667,Digital Communications/Networking Equipment (Inclu,3_information_technology
575,890,Other administrative service that is designated by order of the Governor in Council,2_professional_services
576,3254,Removal of low value amounts related to program expenditures,
577,35,Public relations services,2_professional_services
578,7035,Information Technology and Telecommunications Consultants,3_information_technology
579,1,Accounting and Audit services,2_professional_services
580,427,Information technology and telecommunications consultants,3_information_technology
581,810,Temporary Help Services,2_professional_services
582,53,"Rental of Machinery, Office Furniture and Fixtures and Other Equipment",10_office_management
583,57,Rental Other,1_facilities_and_construction
584,8481,Safety Equipment,6_industrial_products_and_services
585,4608,temporary help services,2_professional_services
586,881,Construction services,1_facilities_and_construction
587,1362,"Passenger terminals-Air, bus, boat, train and other",1_facilities_and_construction
588,3253,Interest and service charges paid to financial institutions,
589,3433,Reallocation of expenditures/costs within revolving funds,
590,7029,Other allowances,
591,4519,Other Revenue from Rights and Royalties,
592,E199,Environmental Services,1_facilities_and_construction
593,E108,Northern Contaminated Site Environmental Clean-up Work/Services,1_facilities_and_construction
594,D302,Informatics Professional Services,3_information_technology
595,R019,"Human Resource Services, Business Consulting/Change Management; Project Management Services",2_professional_services
596,C119,Engineering Services - Buildings,
597,3429,Other,
598,127,Military and Royal Canadian Mounted Police (RCMP) members-Allowances and benefits,9_human_capital
599,3421,General administrative services charged by other departments or by other programs within a department,
600,27,27 monitor,3_information_technology
601,666,666 Repair/Maint Analog Communication/ Networking Eqpt,3_information_technology
602,3451,Amortization expenses for capital assets,3_information_technology
603,40,Business Services,2_professional_services
604,284,Client software related to Distributed Computing Environment (DCE),3_information_technology
605,624,Repair of office equipment,1_facilities_and_construction
606,962,Assets - Purchased Application Software (including COTS) and Application Development and Delivery Software > $10K,3_information_technology
607,746,Purchase of Computer Equipment related to Distributed Computing Environment (DCE) - Desktop/Personal/Portable < $10K,3_information_technology
608,424,IT Consultants - IT Security Services,3_information_technology
609,737,Writing instruments,10_office_management
610,300,ADVERTISING SERVICES,2_professional_services
611,961,PURCHASE OF SOFTWARE > $10K - ASSETS,3_information_technology
612,427,Computer Services - IT Solutions / Deliverables - Application / Database Development and Maintenance (ADDM),3_information_technology
613,9015,Office furniture and funishing,10_office_management
614,467,Real estate broker service,2_professional_services
615,484,Building maintenance services,1_facilities_and_construction
616,632,Roof renovation works,1_facilities_and_construction
617,798,Book edition,10_office_management
618,685,Building demolition works,1_facilities_and_construction
619,1373,Security cameras,1_facilities_and_construction
620,768,Manufacturing of street lights,1_facilities_and_construction
621,625,Arboriculture works,1_facilities_and_construction
622,779,Lightning equipment,1_facilities_and_construction
623,787,Network Switchs,3_information_technology
624,662,"Sprinkler Systems, Installation and Repair",1_facilities_and_construction
625,768,Update of the parking meters doors,1_facilities_and_construction
626,1265,Tree equipment,1_facilities_and_construction
627,4567,Simulator and flight training fees,5_transportation_and_logistics
628,106,Flight school services,5_transportation_and_logistics
629,2321,Management consulting services,2_professional_services
630,498,Media Monitoring:,2_professional_services
631,853,YEAR 1 Microsoft Volume Licensing  Assurance Renewal,3_information_technology
632,299,Usage of inventory,5_transportation_and_logistics
633,51,Rental of other buildings,1_facilities_and_construction
634,608,"Runways, landing fields and tarmac",1_facilities_and_construction
635,54,Rental of motor and other vehicles,5_transportation_and_logistics
636,34,Communications Research Services,2_professional_services
637,130,Acquisition of land,1_facilities_and_construction
638,3249,Court awards to industry,
639,26,Travel - non-public servants,7_travel
640,2639,Rental or License/Maintenance Fees for Application Security Software and Application Development and Delivery Security Software,3_information_technology
641,7870,Computer Software,3_information_technology
642,858,858  OTHER BUSINESS SERVICES NOT ELSEWHERE SPECIFIED,2_professional_services
643,820,820  NON-PROFESSIONAL PERSONAL SERVICE CONTRACTS NOT ELSEWHERE SPECIFIED,2_professional_services
644,814,814 TEMPORARY HELP SERVICES - NURSING,4_medical
645,449,0499 OTHER PROFESSIONAL SERVCS,2_professional_services
646,49,0499 OTHER PROFESSIONAL SERVCS,2_professional_services
647,553,"0553 - RENTAL OF MACHINERY, OFFOCE FURNITURE AND FIXTURES AND OTHER EQUIPMENT",10_office_management
648,581,License/Maintenance fees for client software related to Distributed Computing Environment (DCE),3_information_technology
649,3,Amendment 003 issued to increase the volume of work,
