d_vendor_name,min_overall_value,n
MERCER CANADA,923775.00,1
MERCURY MARINE,17026.84,7
MERIDIAN MEDICAL TECHNOLOGIES,14879.55,4
MESSA COMPUTING,64636.00,8
METALCRAFT MARINE,749188.00,2
METOCEAN TELEMATICS,158976.00,1
MGIS,58731.75,11
MICHAEL WAGER CONSULTING,45990.00,26
MICHELIN,10300.28,41
MICRONOSTYX,46986.00,1
MICROSOFT CANADA,11584.11,52
MID VALLEY CONSTRUCTION,12617.34,38
MIL AERO ELECTRONICS ATLANTIC,32207.99,8
MILLBROOK TACTICAL,10091.24,54
MILLER PAVING,11586.70,6
MILLER WASTE SYSTEMS,10350.00,41
MILTEX SOLUTIONS CANADA,10961.00,55
MINDWIRE SYSTEMS,64859.88,14
MINE EODCLR,35487.03,3
MIREMS,24973.00,2
MISHKUMI TECHNOLOGIES,10750.39,65
MITSUBISHI MOTOR SALES,22222.83,13
MKDS TRAINING,10236.94,11
MLS OVERSEAS,6867.74,471
MNP,24441.90,14
MOBILE RESOURCE GROUP,12339.60,13
MOBILE VALVE,10859.45,57
MOBILITY LAB,10811.84,33
MODERN NIAGARA ALBERTA,19332.60,10
MODIS CANADA,48244.95,48
MOMENTUM SOLUTIONS,89250.00,39
MONTREAL BRONZE,11110.91,47
MORGAN ADVANCED MATERIALS COMPOSITES AND DEFENCE SYSTEMS,9450000.00,1
MORNEAU SHEPELL,34000.00,1
MORPHO CANADA,2281000.00,1
MORRISON HERSHFIELD,29265.00,1
MOTOR COACH INDUSTRIES,14525.00,3
MOTOROLA SOLUTIONS CANADA,10567.76,211
MTS ALLSTREAM,11830.00,2
MULDER MEATS,10119.07,175
MULTINATIONAL LOGISTIC SERVICES,10249.00,76
MULTISHRED,10455.90,10
MUNICIPALITY OF THE COUNTY OF KINGS,827499.75,5
MUSTANG SURVIVAL,10189.33,35
MWCO,18080.00,6
N P A,15368.23,4
NAMMO PERRY,2913120.00,1
NANOMETRICS,28738.50,1
NASITTUQ,972732.00,4
NATCO PHARMA CANADA,71400.00,2
NATIONAL ARTS CENTRE,15000.00,1
NATIONAL TEST PILOT SCHOOL,12809.73,4
NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT,91060.00,14
NATTIQ,35350.00,8
NAV CANADA,10224.24,19
NAVAMAR,11820875.11,1
NAVPOINT CONSULTING GROUP,63054.00,3
NELSON ENVIRONMENTAL REMEDIATION,83397.66,2
NEPTEC DESIGN GROUP,198488.47,1
NEPTUNE SECURITY SERVICES,119878.76,9
NEVADA AUTOMOTIVE TEST CENTER,6678550.00,1
NEW ENGLAND BIOLABS,10276.75,9
NEW TECHNOLOGIES,86445.00,9
NEWFOUND RECRUITING,25382.06,13
NEWFOUNDLAND HELICOPTERS,30818.80,5
NEXTER SYSTEMS,708750.00,2
NIKON CANADA,10146.87,50
NISHA TECHONOLOGIES,10012.02,486
NISSAN CANADA,16966.95,30
NITAM SOLUTIONS,14179.50,5
NKE INSTRUMENTATION,19145.22,1
NOKIA CANADA,39853.93,14
NOLINOR AVIATION,15648.54,4
NORDLYS ENVIRONMENTAL,831622.50,3
NORDLYS ENVIRONMENTAL PARTNERSHIP,1687704.00,3
NORR,56414.12,2
NORTAK SOFTWARE,430665.60,1
NORTH ATLANTIC PETROLEUM,12146.54,20
NORTH BAY HYDRO,18554.40,31
NORTH CARIBOO AIR,74297.74,1
NORTH COUNTRY LOGISTICS,3777900.00,1
NORTHERN MICRO,10039.24,679
NORTHROP GRUMMAN,45665.00,9
NORTHSIDE DEVELOPMENT,34000.00,3
NORTHWEST FUELS,39256.63,2
NORTRAX CANADA,12632.50,18
NOTRA,10439.89,22
NOVA NETWORKS,10195.35,53
NOVA SCOTIA POWER,14260.00,17
NOVIPRO,42517.00,3
NP AEROSPACE CANADA,18270.61,4
NU VIEW HOMES,464999.00,2
NUA OFFICE,10050.81,5
NUMBER TEN ARCHITECTURAL GROUP,57525.00,7
NUNA EAST,96702.62,1
NUR CONSTRUCTION,10035.82,115
OCLC CANADA,28299.00,1
OGILVY MONTREAL,29662.50,1
OMNITECH ELECTRONICS,11989.90,19
ONIX NETWORKING CANADA,938107.08,2
ONX ENTERPRISE SOLUTIONS,17260.46,21
OPEN STORAGE SOLUTIONS,10916.00,7
OPENFRAME TECHNOLOGIES,13503.96,18
OPENTEXT,12796.17,21
OPROMA,19639.40,3
OPSIS,150531.94,14
OPTIMUM SOLUTIONS,10339.96,153
OPTIV CANADA FEDERAL,31552.36,4
ORACLE CANADA,10938.06,21
ORANGUTECH,12754.88,13
ORBIS RISK CONSULTING,56274.00,4
OSHKOSH,2453197.05,1
OSI,9200000.00,1
OTIS ELEVATOR,24090.00,5
OTTAWA BUSINESS INTERIORS,17511.61,2
OXFORD NANOPORE TECHNOLOGIES,15426.00,3
OXFORD UNIVERSITY PRESS,10939.86,39
P C MCNEILL CONTRACTING,38420.00,16
PACIFIC GEOMATICS,11586.00,21
PACIFIC INDUSTRIAL MARINE,944434.57,2
PACIFIC SAFETY PRODUCTS,13968.04,8
PAD CAR MECHANICAL,20504.65,10
PAL AEROSPACE,10243.42,35
PALADIN GROUP,10090.09,28
PALFINGER MARINE,12537.00,2
PANASONIC,21175.10,6
PARKER JOHNSTON INDUSTRIES,2389000.00,3
PARKLAND,10057.83,151
PARKLAND REFINING,10365.60,41
PARLEVIEW,4520000.00,1
PARSONS CANADA,38279.85,1
PATLON AIRCRAFT INDUSTRIES,10021.50,82
PATTISON SIGN GROUP,18396.77,5
PCL CONSTRUCTORS,200000.00,6
PEERLESS GARMENTS,11350.50,16
PENNANT CANADA,326459.26,4
PENNECON,27574.70,3
PEPCO,7048.24,143
PERSISTENT SYSTEMS,18955.00,18
PETRO AIR SERVICES,10576.80,38
PETROVALUE PRODUCTS,11468.07,107
PFIZER CANADA,165000.00,2
PHASELOCK SYSTEMS INTERNATIONAL,10169.93,18
PIONEER CONSTRUCTION,299700.00,1
PITNEY BOWES,10712.40,18
PIVOTAL POWER,168392.20,7
PLANET LABS,21290.85,6
PLEIAD CANADA,11884.21,6
PODOLINSKY EQUIPMENT,13802.95,16
POLARIS INDUSTRIES,12470.00,20
POMERLEAU,200000.00,11
PRA,42205.50,1
PRECISIONIT,84750.00,7
PRICEWATERHOUSE COOPERS,11805.68,19
PRIMEX PROJECT MANAGEMENT,10704.95,35
PRINTERS PLUS,10083.20,75
PROCOM CONSULTANTS,17514.78,23
PROLOGIC SYSTEMS,39717.24,7
PROMAXIS,15068.33,156
PROQUEST,10616.24,56
PROSCI CANADA,20051.85,8
PROTAK CONSULTING GROUP,56443.50,18
PURELOGIC,10431.00,189
PURESPIRIT SOLUTIONS,10211.11,95
PUROLATOR,10000.00,3
PV SERVICES,15955.06,5
PYLON ELECTRONICS,63373490.45,1
QIAGEN,15359.19,2
QINETIQ,10505.38,30
QM ENVIRONMENTAL,10249.10,8
QMR,10373.40,49
QUAD PRO CONSTRUCTION,1492000.68,3
QUADBRIDGE,19692.30,2
QUANTUM MANAGEMENT SERVICES,8241.41,27
QUEEN S UNIVERSITY,11500.00,39
QUINAN CONSTRUCTION,730800.00,3
QUINTET CONSULTING,11475.00,19
R D CONSTRUCTION,107000.00,2
R J MACISAAC CONSTRUCTION,10828950.00,1
R R INTERNATIONAL TRANSLATION,12204.00,7
RACEROCKS 3D,24780.00,4
RADIATION SOLUTIONS,34498.90,3
RAFA LABORATORIES,233535.00,2
RAINHOUSE MANUFACTURING CANADA,3620837.43,1
RAMPART INTERNATIONAL,10290.35,61
RANDSTAD,10088.64,33
RAYMOND CHABOT GRANT THORNTON,49042.00,6
RAYTHEON,19910.59,20
RENK,14192846.29,1
RENOKREW,4512483.75,1
REPUBLIC ARCHITECTURE,5715.96,93
REVISION MILITARY,24595.00,9
REVOLUTION EVENTS,10090.90,89
RGT CLOUTHIER,12760.00,37
RHEA,61669.00,7
RHEINMETALL,12797.68,82
RICOH,10000.00,236
RIGHTWAY SANITATION SERVICES,10001.25,176
RIKJAK CONSTRUCTION,59798.00,13
RISK SCIENCES INTERNATIONAL,225219.17,1
RMS SOFTWARE,12647.25,3
ROBERTSON MARTIN ARCHITECTS,15679.95,7
ROCHE DIAGNOSTICS,11445.80,6
ROCKWELL COLLINS CANADA,56474.19,7
ROGERS,24611.00,7
ROHDE SCHWARZ CANADA,61937.65,15
ROLLING TIDES CONSTRUCTION,113513.52,10
ROLLS ROYCE CANADA,5055000.00,1
RONA,10144.46,8
ROOF TILE MANAGEMENT,5846945.25,1
ROSBOROUGH BOATS,95593.76,4
ROSCOE CONSTRUCTION,52933.87,20
RUSH TRUCK CENTRES OF CANADA,10048.84,7
RUSSEL METALS,5028.31,91
S P GLOBAL MARKET INTELLIGENCE,22179.99,6
SAAB,18500.00,36
SABA SOFTWARE,62293.00,2
SAFFCO,13334.00,23
SALISH SEA INDUSTRIAL SERVICES,435288.00,2
SAMSON ASSOCIES,11548.60,18
SANDOZ CANADA,70000.00,1
SANEXEN SERVICES ENVIRONMENTAUX,358200.00,5
SANI SPORT,24673.25,2
SANTE MONTFORT,260647300.00,1
SAP,14604.12,22
SAPPER LABS CYBER SOLUTIONS,8025942.38,1
SAS INSTITUTE,25384.32,5
SCA SHIPPING CONSULTANTS ASSOCIATED,11023.54,383
SDL INTERNATIONAL CANADA,47432.88,1
SEAFIRST CONSTRUCTION,62595.00,7
SEASPAN VICTORIA SHIPYARDS,19276.92,10
SED SYSTEMS,56170.60,1
SEGUIN MORRIS,1470237.88,1
SELECT GLOBAL INTERNATIONAL,15040.30,5
SENSORS UNLIMITED,2087250.00,1
SERCO,13498.66,4
SERVICE STAR BUILDING CLEANING,90205.09,11
SETANTA CONTRACTING,9030.00,148
SGS AXYS ANALYTICAL SERVICES,23047.50,6
SHARP ELECTRONICS,10393.74,14
SHAW CABLE,253260.00,1
SHELL CANADA PRODUCTS,10004.21,1895
SHI CANADA,10037.79,17
SI SYSTEMS,22882.50,39
SIEMENS,10388.09,34
SIERRA SYSTEMS GROUP,1226550.00,9
SIGNAL ELECTRIC,36887.37,3
SIKORSKY AIRCRAFT,2342493108.00,1
SIMEX DEFENCE,10002.82,954
SIMO,18987.63,3
SIMO MANAGEMENT,10286.19,42
SIMPLEX GRINNELL,9775.01,8
SIMPSON BUILDING CONTRACTORS,1050300.00,2
SITE ENERGY SERVICES,32274920.00,1
SKOR CULINARY CONCEPTS,10124.12,92
SLR CONSULTING CANADA,14148.61,18
SMITHS DETECTION,12916.77,3
SNAP ON TOOLS,10108.88,174
SNC LAVALIN,10099.38,146
SOFTCHOICE,10031.67,87
SOFTSIM TECHNOLOGIES,10374.00,25
SOLANA NETWORKS,229942.50,2
SOLOTECH,10007.06,77
SOMOS,29256.05,34
SONOBUOY TECH SYSTEMS,7994826.00,1
SOUCY INTERNATIONAL,10215.53,8
SOUTHMEDIC,14650.20,1
SOUTHWEST RESEARCH INSTITUTE,2935811.23,3
SOVO TECHNOLOGIES,20100.00,5
SPEARHEAD MANAGEMENT CANADA,109632.60,3
SPRINGCREST,85949.85,5
SRA STAFFING SOLUTIONS,73088.40,2
SSCL,104296.34,6
ST GELAIS MONTMINY ASSOCIES,19079.00,2
ST JOHN AMBULANCE,14000.00,7
ST JOSEPH PRINT GROUP,11542.82,9
ST OPS TACTICAL TRAINING CANADA,10941.39,24
STANLEY CONSTRUCTION,86792.40,8
STANTEC,5073.70,262
STEDFAST,17938.91,5
STERIS CANADA,14831.25,3
STERLING FUELS,52869.60,59
STIFF SENTENCES,52262.50,2
STONEWORKS TECHNOLOGIES,10251.81,134
STOPS TACTICAL TRAINING,48850.20,2
STRONG BROS GENERAL CONTRACTING,26293.56,27
STRYKER CANADA,14339.85,4
STS MAINTENANCE 4527984 CANADA,900236.54,2
SUBARU CANADA,20447.70,27
SUMMIT CANADA DISTRIBUTORS,11494.36,5
SUN LIFE ASSURANCE COMPANY,734500.00,5
SUNCOR ENERGY,11012.51,169
SUPER CHANNEL INTERNATIONAL,12511.47,15
SUPREMEX,10591.94,9
SUTHERLAND EXCAVATING,10103.07,63
SYNERSOLUTIONS TECHNOLOGIES,12430.00,7
SYSCO,10004.33,587
SYSTEMATIX SOLUTIONS,1197629.14,3
SYSTEMS FOR RESEARCH,13277.50,6
SYSTEMSCOPE,27500.00,3
T J NOLAN CONSTRUCTION,10120.00,138
TACS,46471.50,32
TAG HR,10604.34,72
TAI,34853.63,9
TANKATEK,10597.47,9
TAURUS CONTRACTORS,10748.42,6
TAYLOR FRANCIS,20336.91,8
TEAM CERTAS,81616788.06,1
TECHNO FEU,10183.10,25
TECHNOMICS,81500.00,2
TECSIS,24102.90,1
TEEL TECHNOLOGIES CANADA,10107.85,11
TEKNION,10005.12,132
TEKSYSTEMS CANADA,32544.00,7
TELECOM COMPUTER SERVICES,10671.43,94
TELECOMMUNICATION SUPPORT SERVICES,417317.76,5
TELEDYNE,11999.15,5
TELEPHONICS,10343.59,7
TELESAT,296094.00,5
TELUS CANADA,12371.24,39
TENAQUIP,10027.85,207
TERAMACH TECHNOLOGIES,11119.58,31
TERRA SENSE ANALYTICS,191205.00,6
TERVITA,10289.19,8
TES CONTRACT SERVICES,39866.40,4
TESTFORCE SYSTEMS,10390.98,100
TESTVONICS,22680.00,2
TETRA TECH,17913.00,4
THALES,13321.08,78
THE AIM GROUP,39060.00,17
THE BOEING COMPANY,1066615.20,3
THE CANNINGTON ABORIGINAL VENTURE,980018.46,2
THE DELTIC GROUP,41730.18,5
THE HALIFAX COMPUTER CONSULTING GROUP,322017.80,3
THE HALIFAX GROUP,704483.38,2
THE IT BROKER,21587.52,6
THE MASHA KRUPP TRANSLATION GROUP,12712.50,1
THE MATHWORKS,10064.71,46
THE RIGHT DOOR CONSULTING,12712.50,36
THE STEVENS COMPANY,18255.94,6
THE UNIVERSITY OF WESTERN ONTARIO,62880.00,9
THE VCAN GROUP,20340.00,9
THERMO FISHER SCIENTIFIC,6583.81,104
THINKPOINT,39998.61,9
THOMAS SCHMIDT,35872.20,17
THOMPSON BOILER WORKS,11490.97,9
THOMSON REUTERS,10529.05,9
THORNHILL MEDICAL,768089.27,1
THYSSENKRUPP ELEVATOR,12061.62,25
TIREE,52432.00,2
TITAN AEX,11773333.34,2
TLD CANADA,862312.50,2
TOP ACES,23235.75,366
TOROMONT,10535.09,37
TORONTO INDUSTRIES,11368805.96,1
TORONTO METROPOLITAN UNIVERSITY,200000.00,3
TOSHIBA CANADA,12480.98,20
TOTEM OFFISOURCE,179661.81,1
TOURE CLEANING SERVICES,19582.90,5
TOYOTA,23047.02,113
TPG TECHNOLOGY CONSULTANTS,238000.00,5
TRAINOR MECHANICAL CONTRACTORS,89574.50,10
TRANE CANADA,11294.35,10
TRANSPOLAR TECHNOLOGY,10524.04,9
TRANSWEST AIR,15940.14,4
TREMCAR INDUSTRIES,12979.00,7
TRI STAR INDUSTRIES,150517.50,3
TRI WAVE CONSTRUCTION,10223.85,21
TRM TECHNOLOGIES,12791.60,13
TROY LIFE FIRE SAFETY,12533.96,9
TRUMPF,23000.00,1
TSI,19420.00,7
TULMAR SAFETY SYSTEMS,11271.75,18
TUNDRA TECHNICAL SOLUTIONS,33643.49,11
TURNER TOWNSEND,37894.55,3
TURTLE ISLAND STAFFING,12390.45,42
TYCO INTEGRATED FIRE SECURITY,10113.74,37
TYR TACTICAL,18074.07,25
ULTIMATE CONSTRUCTION,58905.94,6
ULTRA ELECTRONICS,38985.00,18
UNCHARTED SOFTWARE,199598.59,3
UNIFORM WORKS,15911.23,4
UNISOURCE,10170.00,407
UNISYS CANADA,967600.59,1
UNITED RENTALS,10170.00,202
UNITED STATES DEPARTMENT OF DEFENCE,529626.62,3
UNITED STATES DEPARTMENT OF THE AIR FORCE,65151.00,41
UNITED STATES DEPARTMENT OF THE ARMY,11541.00,24
UNITED STATES DEPARTMENT OF THE NAVY,76752.00,58
UNIVERSAL HELICOPTERS,12312.13,10
UNIVERSAL SHEET METAL,1220000.00,1
UNIVERSAL WEATHER AND AVIATION,10300.69,36
UNIVERSITE DE MONTREAL,23375.00,5
UNIVERSITE DE SHERBROOKE,18370.42,7
UNIVERSITE LAVAL,12000.00,12
UNIVERSITE SAINTE ANNE,12384.00,6
UNIVERSITY OF ALBERTA,24860.00,6
UNIVERSITY OF BRITISH COLUMBIA,16000.00,18
UNIVERSITY OF CALGARY,69505.90,15
UNIVERSITY OF GUELPH,22374.00,3
UNIVERSITY OF MANITOBA,147564.38,5
UNIVERSITY OF NEW BRUNSWICK,18000.00,6
UNIVERSITY OF OTTAWA,10396.00,36
UNIVERSITY OF SASKATCHEWAN,15000.00,6
UNIVERSITY OF TORONTO,11161.50,23
UNIVERSITY OF WATERLOO,28750.00,16
UNIVERSITY OF WESTERN ONTARIO,105000.00,7
UQSUQ,10060.37,266
URLACHER CONSTRUCTION,10080.00,95
URTHECAST,25000.00,4
UTILITIES KINGSTON,10735.00,56
UVAIR,10149.66,125
VAISALA CANADA,10862.84,9
VALARD CONSTRUCTION,21525.00,5
VALCOM CONSULTING,22995.00,188
VALLEY REFRIGERATION,12204.00,24
VALUE MASTER BUILDERS,10200.33,82
VAN HORNE CONSTRUCTION,985789.40,2
VAN KAPPEL INTERNATIONAL,12138.21,19
VANCOUVER SHIPYARDS,3929203.00,7
VCI CONTROLS,11473.22,19
VECTOR AEROSPACE,200000.00,1
VENASSE BUILDING GROUP,79100.00,8
VERITAAQ TECHNOLOGY HOUSE,39994.74,9
VERSATERM,62179.38,5
VERSATIL BPI,115949.19,1
VFA CANADA,20000.00,5
VIDCRUITER,24979.73,4
VISIONTEC,23394.00,6
VMWARE,11846.62,98
VWR INTERNATIONAL,10293.82,17
W S MORGAN CONSTRUCTION,186500.00,3
W8482 217946 001 DMARP4,3333739.82,1
WADE GENERAL CONTRACTING,24325.00,23
WAHL CONSTRUCTION,10782.61,86
WAJAX,10134.81,110
WARTSILA,10152.12,65
WASTE CONNECTIONS OF CANADA,10500.00,70
WASTE MANAGEMENT OF CANADA,10269.00,96
WASTE PROCESSING TECHNOLOGIES,5233650.00,1
WATERS,752495.63,1
WATERSHED INFORMATION TECHNOLOGY,269767.73,8
WATERWORKS CONSTRUCTION,11465.50,40
WEATHERHAVEN CANADA,10809.91,34
WEBSTER ELECTRIC,10408.09,56
WEIR CANADA,530460000.00,1
WESCO DISTRIBUTION CANADA,10264.93,93
WESTBURY NATIONAL SHOW SYSTEMS,10493.07,42
WESTCO CONSTRUCTION,289800.00,2
WESTERN MATERIALS HANDLING EQUIPMENT,10079.28,28
WESTERN MECHANICAL ELECTRICAL,11074.00,3
WESTERN PETROLEUM,12448.63,4
WESTJET,725380.58,1
WESTOWER COMMUNICATIONS,535338.68,1
WILCO CONTRACTORS SOUTHWEST,376144.60,3
WILLS TRANSFER,26513.76,3
WINMAR,11000.00,9
WOLTERS KLUWER,12500.00,6
WOOD,10146.30,23
WOOD ENVIRONMENT INFRASTRUCTURE,8690.67,12
WOODWARD AVIATION,10081.83,106
WOODWARD S OIL,10018.13,70
WORKDYNAMICS TECHNOLOGIES,2558972.89,1
WORLD FUEL SERVICES,10001.79,2768
WORLDREACH SOFTWARE,224220.25,1
WORLEY PARSONS,31500.00,1
WSP,10008.08,57
XEROX,5009.00,307
XTECH EXPLOSIVE DECONTAMINATION,1200000.00,3
XTRACT TECHNOLOGIES,95760.00,14
YAMAHA MOTORS CANADA,43948.80,5
YAMNUSKA,25064.97,12
YELLOWHEAD HELICOPTERS,10286.64,11
ZAYO CANADA,28146.13,2
ZENITH PAVING,188188.19,3
ZERNAM ENTERPRISE,22108.35,11
ZODIAC HURRICANE TECHNOLOGIES,11418.75,11
ZOLL MEDICAL CANADA,10405.43,15
ZYCOM,13776.00,33
