d_vendor_name,max_years,n
LANGUAGE RESEARCH DEVELOPMENT GROUP,5.22,212
LANNICK CONTRACT SOLUTIONS,3.34,38
LANSDOWNE TECHNOLOGIES,4.75,78
LAPORTE EXPERTS CONSEILS,3.01,2
LARCH HALF WAY HOUSE OF SUDBURY,7,5
LARRY PENNER ENTERPRISES,2,23
LAURENTIAN TECHNOLOGIES,5.01,31
LAVAL FORTIN,2.39,1
LE GROUPE DRUMCO CONSTRUCTION,1.81,1
LEAR CONSTRUCTION,3.13,1
LEC ENGINEERING CONTRACTING,3.51,1
LEDCOR CONSTRUCTION,4,1
LEEWAY YACHTS,2.25,3
LEMAY,4.65,9
LENGKEEK VESSEL ENGINEERING,2.41,57
LEO PISCES SERVICES GROUP,5.1,29
LEONARDO,6.78,6
LES CONSTRUCTIONS BELAND,1.79,3
LES CONSTRUCTIONS BINET,2.91,5
LES CONSTRUCTIONS DES ILES,5.65,8
LES ENTREPRISES FERVEL,5,8
LES ENTREPRISES MICHAUDVILLE,2.48,1
LES ENTREPRISES P E C,2.13,23
LES EQUIPEMENTS CLAUDE PEDNEAULT,3.32,11
LES HUILES DESROCHES,0.96,110
LES INSTALLATIONS ELECTRIQUES,2.36,8
LES TRADUCTEURS REUNIS,3,57
LES TRADUCTIONS TESSIER,4,104
LES TRAITEURS BYTOWN CATERING,3.84,5
LESAGE DAVID DR,4.25,8
LESLIE BENN CONTRACTING,2.72,7
LEVAERO AVIATION,0.88,225
LEVITT SAFETY,5,51
LEXISNEXIS CANADA,7.76,72
LIEBHERR CANADA,3,9
LIFE TECHNOLOGIES,17.1,435
LIFELABS,1.88,9
LIFESPEAK,6.02,4
LIKE 10,3.97,18
LINOVATI,3.83,46
LIONBRIDGE,7.07,473
LLOYD LIBKE LAW ENFORCEMENT SALES,2.15,6
LLOYD S REGISTER CANADA,0.84,29
LOCKHEED MARTIN,1.04,9
LOGISTIK UNICORP,8.57,12
LOUIS W BRAY CONSTRUCTION,3.64,10
LOWE MARTIN COMPANY,4.94,73
LRO STAFFING,2.05,27
LS TELCOM,6.92,3
LUMINA IT,5.76,315
LUMINULTRA TECHNOLOGIES,1.19,3
LUXTON CONSTRUCTION,2.14,19
M D CHARLTON,4.9,227
M D STEELE CONSTRUCTION,1.79,1
M R ENGINEERING,7.35,13
M SULLIVAN SON,1.58,3
MACDONALD DETTWILER AND ASSOCIATES,23.24,202
MACEWEN PETROLEUM,3.08,71
MACK TRUCKS,0,1
MACKINNON AND OLDING,0.87,6
MACONNERIE DYNAMIQUE,4.39,11
MACONNERIE RAINVILLE ET FRERES,3.5,7
MADSEN DIESEL TURBINE,2,256
MAGAL S3 CANADA,1.58,6
MAGELLAN AEROSPACE,5.09,7
MAISON CHARLEMAGNE,3,4
MAISON CROSS ROADS DE LA SOCIETE,4.17,4
MAISON DECISION HOUSE,4.68,4
MAISON JEUN AIDE,3,3
MAISON JOINS TOI,7,3
MAISON PAINCHAUD,4,2
MAKWA RESOURCING,3.52,77
MAN ENERGY SOLUTIONS CANADA,0.06,1
MANIFEST COMMUNICATIONS,4.63,6
MANITOBA HYDRO,7.78,6
MANPOWER SERVICES CANADA,5.24,16
MANULIFE,16.26,10
MAPLE REINDERS CONSTRUCTORS,9.42,6
MAPLESOFT CONSULTING,7.01,370
MARINE CONTRACTORS,0.95,11
MARINE RECYCLING,2.79,15
MARINENAV,2.17,83
MARITIME FENCE,3.62,8
MARITIME FUELS,1,99
MARRBECK CONSTRUCTION,2.53,1
MARTEC,0.47,1
MARTECH ELECTRICAL SYSTEMS,4.43,4
MASKIMO CONSTRUCTION,7.47,7
MASONTECH,3.51,4
MATCON ENVIRONMENTAL,5.01,20
MAVERIN,4.04,17
MAXIM 2000,5.34,5
MAXIMUS CANADA,0.58,1
MAXSYS STAFFING AND CONSULTING,4.52,186
MCAFEE INTERNATIONAL,2.08,3
MCCARTHY TETRAULT,1.25,7
MCCOLMAN SONS DEMOLITION,2.31,2
MCELHANNEY ASSOCIATES,6.53,143
MCGILL UNIVERSITY,6.01,83
MCGREGOR GEOSCIENCE,1.56,3
MCKESSON CANADA,0.98,3340
MCKINSEY AND COMPANY,2.52,12
MCKNIGHT ENTERPRISES,2.36,10
MCNALLY CONSTRUCTION,3.71,14
MCW CUSTOM ENERGY SOLUTIONS,16.26,17
MDOS CONSULTING,5.04,58
MEAL KIT SUPPLY CANADA,0.07,1
MED ENG HOLDINGS,0.62,27
MEDAVIE,12.1,3
MEDIA Q,4,107
MEDTRONIC CANADA,1.73,7
MEEWASINOTA CRF,3,3
MEGA TECH,1.13,280
MEGALEXIS COMMUNICATIONS,3.98,94
MEGGITT,2.41,3
MERCK FROSST,4.69,75
MERCURY MARINE,1.29,107
MERIDIAN MEDICAL TECHNOLOGIES,2.29,5
MESSA COMPUTING,4,39
METALCRAFT MARINE,1.58,3
METOCEAN TELEMATICS,5.09,32
METRO LOGISTICS,2.99,1
METRO PAVING AND ROAD BUILDING,2.65,12
METRO SUPPLY CHAIN,2.12,1
MGIS,5,58
MICHAEL WAGER CONSULTING,5.24,40
MICHANIE CONSTRUCTION,5,34
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,3,1
MICHELIN,0.61,6
MICRONOSTYX,3.84,6
MICROSOFT CANADA,20.01,948
MID CANADA MOD CENTER,1.34,115
MID VALLEY CONSTRUCTION,0.73,5
MIKE KELLY SONS,1.63,2
MILESTONE ENVIRONMENTAL,5,19
MILLBROOK TACTICAL,4.25,60
MINDWIRE SYSTEMS,7.12,594
MINISTRY OF FINANCE,29.02,36
MISHKUMI TECHNOLOGIES,5,140
MITSUBISHI MOTOR SALES,1.24,187
MNP,6,236
MOBILE RESOURCE GROUP,3.58,48
MODERN CONSTRUCTION,2.34,5
MODIS CANADA,7.55,535
MOERAE SOLUTIONS,3.92,16
MOMENTUM SOLUTIONS,1.04,4
MONERIS,8.01,2
MOORE CANADA,6.5,66
MORIYAMA TESHIMA ARCHITECTS,6.52,3
MORNEAU SHEPELL,10.86,31
MORPHO CANADA,9.01,67
MORRISON HERSHFIELD,6.56,95
MOSS DEVELOPMENT,2.27,4
MOTOROLA SOLUTIONS CANADA,10.01,728
MTC LAW,8.03,1
MTM 2 CONTRACTING,3.52,6
MTS ALLSTREAM,11.26,210
MUFACTOR,1,1
MUNICIPAL READY MIX,2.33,14
MURRAYS WINDERMERE GARDENS,3,4
MUSTANG HELICOPTERS,5.24,40
MUSTANG SURVIVAL,1.84,66
MWCO,0.64,1
N P A,1.45,2
N12 CONSULTING,3.93,17
"NADINE INTERNATIONAL",3.31,34
"NAHANNI CONSTRUCTION",4.38,4
"NANOMETRICS",3.97,20
"NAPPAQ DESIGN CONSTRUCTION",0.92,2
"NATCO PHARMA CANADA",1.12,3
"NATIONAL ARTS CENTRE",6,17
"NATIONAL STRUCTURES",1.86,3
"NATIONS TRANSLATION GROUP",8.64,378
"NATIVE CLAN ORGANIZATION",3,3
"NATTIQ",4.75,90
"NAUT MAWT TRIBAL COUNCIL",0.98,9
"NAV CANADA",5.56,23
"NAVAMAR",2.99,12
"NAVPOINT CONSULTING GROUP",5.07,23
"NAVTECH",7.1,13
NDL CONSTRUCTION,3.66,2
NELSON ENVIRONMENTAL REMEDIATION,0.68,6
NEPTEC DESIGN GROUP,3.88,12
NEPTUNE SECURITY SERVICES,5,13
NEUROSCOPE,5.25,3
NEWDOCK ST JOHN S DOCKYARD,1.55,37
NEWFOUND RECRUITING,5.08,82
NFOE,6.68,9
NICHE TECHNOLOGY,5,2
NIMBLE INFORMATION STRATEGIES,5,60
NISHA TECHONOLOGIES,5.65,1440
NISSAN CANADA,0.94,156
NITAM SOLUTIONS,1.62,205
NITRO CONSTRUCTION,2.07,5
NOKIA CANADA,0.31,1
NOLINOR AVIATION,0.96,42
NORDMEC CONSTRUCTION,7.01,2
NORR,11.66,57
NORTAC DEFENCE,4,3
NORTH AMERICA CONSTRUCTION,6.37,1
NORTH ATLANTIC PETROLEUM,0.94,154
NORTH CARIBOO AIR,1.05,86
NORTH COUNTRY MAINTENANCE,5.13,2
NORTHEAST TREE TRIMMING,4.69,2
NORTHERN CONSTRUCTION,3.85,22
NORTHERN CONTRACTING,1.86,1
NORTHERN MICRO,6.06,2001
NORTHFIELD METAL PRODUCTS,0.99,112
NORTHROP GRUMMAN,0.07,3
NORTHWEST MARINE TECHNOLOGY,0.94,17
NORTHWESTEL,9.01,25
NORTRAX CANADA,1.21,30
NOTRA,3,5
NOVA CONSTRUCTION,2.01,2
NOVA NETWORKS,1.27,151
NOVA SCOTIA POWER,9.75,36
NRNS,4.04,14
NUA OFFICE,1.38,106
NUCTECH COMPANY,10.41,4
NUIX NORTH AMERICA,5.01,39
NUMBER TEN ARCHITECTURAL GROUP,6.32,76
NUNA EAST,8.99,2
OEI KRUEGER,1.03,476
OGILVY MONTREAL,3.04,9
OKANAGAN AGGREGATES,3.59,24
OKANAGAN HALFWAY HOUSE SOCIETY CRF,3.42,5
OLIN,3.45,14
OMNITECH ELECTRONICS,0.19,1
ONIX NETWORKING CANADA,10.01,3
ONLINE CONSTRUCTORS,1.61,30
ONTARIO DENTAL ASSOCIATION,2,228
ONX ENTERPRISE SOLUTIONS,5.01,269
OPENFRAME TECHNOLOGIES,8.19,26
OPENTEXT,5,291
OPROMA,6.06,38
OPSIS,6.78,56
OPTIV CANADA FEDERAL,5.08,88
ORACLE CANADA,8.02,450
ORANGUTECH,5.08,165
OSKAR CONSTRUCTION,1.96,22
OTIS ELEVATOR,26.02,76
OTTAWA GREENBELT CONSTRUCTION,1.34,5
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,1.42,130
OXFORD ECONOMICS USA,4.72,17
P B ENTREPRISES,2,7
P K WELDING FABRICATORS,2.6,2
PACIFIC INDUSTRIAL MARINE,5.01,42
PACIFIC SAFETY PRODUCTS,4.57,93
PACWILL ENVIRONMENTAL,3.08,22
PAL AEROSPACE,10.92,49
PALADIN GROUP,6.49,340
PALFINGER MARINE,1.51,71
PANASONIC,1.16,215
PARKER JOHNSTON INDUSTRIES,0.75,1
PARKLAND INDUSTRIES,2.38,269
PARKLAND REFINING,0.96,318
PARSONS CANADA,6.56,55
PATLON AIRCRAFT INDUSTRIES,1.83,8
PATTISON SIGN GROUP,1.67,133
PAVEX,4.44,1
PCL CONSTRUCTORS,11.96,75
PEERLESS GARMENTS,4,15
PENN CONSTRUCTION CANADA,2.98,3
PENNECON,3.98,87
PEPCO,1,79
PEPIN FORTIN CONSTRUCTION,0.72,1
PERCEPTICS,6.72,4
PERSISTENT SYSTEMS,0.36,4
PETER J KINDREE ARCHITECT,4.15,15
PETER KIEWIT SONS,1.96,3
PETERS CONSTRUCTION,2.37,17
PETRO AIR SERVICES,0.19,1
PETROVALUE PRODUCTS,1.59,69
PHASELOCK SYSTEMS INTERNATIONAL,15.01,244
PHOENIX DRUG ALCOHOL RECOVERY,3,5
PIDHERNEY S,1.55,3
PIONEER CONSTRUCTION,3.88,1
PITNEY BOWES,9.92,184
PLEIAD CANADA,5.01,101
PMB ELECTRICAL SERVICES,3.13,30
PMG TECHNOLOGIES,3.02,122
PODOLINSKY EQUIPMENT,3.01,91
POINT HOPE MARITIME,2.55,8
POLARIS INDUSTRIES,1,233
POMERLEAU,5.78,21
PORT OF SPAIN HOLDINGS,1.5,17
PORTAGE PERSONNEL,5,68
POSTMEDIA NETWORK,4,33
PR3 MEDIAS,2.17,5
PRA,4.75,103
PRAGMATIC CONFERENCING,3,3
PRECISION ADM,1.05,1
PRECISIONIT,7.55,79
PRICEWATERHOUSE COOPERS,6.01,719
PRIMED MEDICAL PRODUCTS,1.24,3
PRIMEX PROJECT MANAGEMENT,0.26,3
PRINCE GEORGE ACTIVATOR,3,6
PRINTERS PLUS,6.42,314
PROCOM CONSULTANTS,6.95,176
PROLINE ADVANTAGE,0.99,1
PROLOGIC SYSTEMS,2.41,78
PROMAXIS,5.02,62
PRONEX EXCAVATION,3.31,2
PROOF EXPERIENCES,5,13
PROQUEST,3.96,81
PROSCI CANADA,4.01,272
PROTAK CONSULTING GROUP,4.22,147
PROVENCHER ROY ASSOCIES,8.44,19
PURELOGIC,5.03,172
PURESPIRIT SOLUTIONS,7.01,279
PYLON ELECTRONICS,4.22,5
QATAR AIRWAYS,0.91,6
QIAGEN,2.97,83
QINETIQ,1.12,2
QM ENVIRONMENTAL,1.89,26
QMR,7.61,805
QUANTUM MANAGEMENT SERVICES,7.59,140
QUARTZ NATURE,1.54,1
QUEEN S UNIVERSITY,6.01,61
QUINAN CONSTRUCTION,3,11
QUINTET CONSULTING,4.01,165
QUOREX CONSTRUCTION SERVICES,3.05,9
QUORUM,5.08,3
R C M MODULAIRE,5.5,2
R E GILMORE INVESTMENTS,5.65,58
R J MACISAAC CONSTRUCTION,0.76,3
R LAMBA FORENSIC PSYCH SERVICE,6.01,2
R R INTERNATIONAL TRANSLATION,4,192
R W TOMLINSON,2.34,8
R2I,5.01,9
RACEROCKS 3D,0.89,1
RACING FORENSICS,4.75,2
RADIATION SOLUTIONS,6.88,30
RAMPART INTERNATIONAL,4,187
RANDSTAD,7.77,656
RAPISCAN SYSTEMS,6.88,11
RATIO ARCHITECTURE INTERIOR DESIGN,3.7,20
RAYMOND CHABOT GRANT THORNTON,8.21,364
RAYTHEON,1.07,6
REACTOR ENGINEERING GROUP,0.64,1
REDACTED,1.04,7
REFORMAR,2.67,7
REGENT CONSTRUCTION,4.84,9
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,2.12,144
REPUBLIC ARCHITECTURE,5.1,71
RESIDENCE CARPEDIEM,4,5
RESOLVE SALVAGE FIRE AMERICAS,0.25,1
REVISION MILITARY,0.09,2
RGB MEDIA,1,61
RHEA,2.92,77
RHEINMETALL,4.04,4
RICOH,9.39,1163
RIGGS ENGINEERING,5.13,30
RIKJAK CONSTRUCTION,1.04,1
RISK SCIENCES INTERNATIONAL,5.59,104
RJG CONSTRUCTION,4.3,44
ROBERTSON GEOCONSULTANTS,1,6
ROBERTSON MARTIN ARCHITECTS,5.48,24
ROCHE DIAGNOSTICS,5.04,61
ROCKWELL COLLINS CANADA,0.07,8
ROGERS,20.01,86
ROHDE SCHWARZ CANADA,5.09,29
ROLLING TIDES CONSTRUCTION,0.73,2
RONDAR,5.54,28
ROSBOROUGH BOATS,3.55,25
ROSCOE CONSTRUCTION,1.85,6
ROSS AND ANGLIN,2.18,4
ROUDEL MEDICAL AND SURGICAL,1.48,2
ROXBORO EXCAVATION,4.85,3
RUSH TRUCK CENTRES OF CANADA,1.01,3
RUSSEL METALS,0.99,163
RUSSELL CHERNOFF RAND THOMPSON,5.68,27
RYCOM,6.34,14
S P GLOBAL MARKET INTELLIGENCE,4,33
S W WEEKS CONSTRUCTION,0.92,1
SAAB,0.53,3
SABA SOFTWARE,7.01,4
SALESFORCE CANADA,2.3,84
SALVATION ARMY,7,59
SAMSON AND ASSOCIATES,4,34
SAMSON ASSOCIES,10.1,471
SANEXEN SERVICES ENVIRONMENTAUX,4.89,32
SANI SABLE LB,4.79,14
SAP,16.24,201
SAS INSTITUTE,5.01,202
SASKTEL,12.26,19
SCA SHIPPING CONSULTANTS ASSOCIATED,0.91,4
SCANSA CONSTRUCTION,2.52,6
SCHOELER HEATON ARCHITECTS,7.17,30
SDL INTERNATIONAL CANADA,4,36
SEACOAST MARINE ELECTRONICS,0.84,34
SEAGATE CONSTRUCTION,2.38,13
SEASPAN VICTORIA SHIPYARDS,0.93,5
SEAWATCH,3.96,6
SEAWAVES DEVELOPMENT SERVICES,1.18,2
SECURE ENERGY ONSITE SERVICES,0.62,2
SECUREKEY TECHNOLOGIES,9.65,8
SECURIGUARD SERVICES,4.33,1
SED SYSTEMS,5.09,1
SEEGENE CANADA,0.65,3
SELEX,6.78,2
SEPW ARCHITECTURE,10.52,30
SEQIRUS CANADA,4,2
SERCO,4.92,6
SERVICE STAR BUILDING CLEANING,5.25,13
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,6,4
SETANTA CONTRACTING,2.14,4
SEYEM,1.22,1
SGS AXYS ANALYTICAL SERVICES,4.28,88
SHARP ELECTRONICS,12.01,461
SHAW CABLE,9.82,4
SHELL CANADA PRODUCTS,2.8,16
SHELTER NOVA SCOTIA,7,3
SHI CANADA,5,171
SHM CANADA CONSULTING,5.09,92
SHRMA ARCHITECTS IN JOINT VENTURE,4.81,2
SI SYSTEMS,6.86,1043
SIEMENS,7.09,354
SIERRA SYSTEMS GROUP,8.28,100
SIGNATURE SUR LE SAINT LAURENT,34.82,1
SILLIKER,5.9,73
SIMEX DEFENCE,2,51
SIMPLEX GRINNELL,5.25,130
SKILLSOFT CANADA,6.99,27
SKY CANOE,1.16,1
SLR CONSULTING CANADA,5.09,128
SMITHS DETECTION,7.81,134
SMITHS MEDICAL CANADA,0.2,1
SNC LAVALIN,6.25,461
SOCIETE ELIZABETH FRY DU QUEBEC,5.25,3
SOCIETE EMMANUEL GREGOIRE,4.75,10
SOFTCHOICE,6.93,890
SOFTSIM TECHNOLOGIES,3.64,44
SOLOTECH,4.5,142
SOLUDOC,5.01,32
SOMOS,4.71,12
SOUTHWEST RESEARCH INSTITUTE,1.03,12
SPARTAN BIOSCIENCE,1.01,1
SPERRA CONSTRUCTION,1.68,8
SPRINGER VERLAG,1,14
SPRINGHILL CONSTRUCTION,5.41,1
SQUAMISH INDIAN BAND,1,3
SRA STAFFING SOLUTIONS,3.8,32
ST AIRBORNE SYSTEMS,1.7,13
ST DENIS THOMPSON,3.75,7
ST GELAIS MONTMINY ASSOCIES,8.63,22
ST JOHN AMBULANCE,5.01,13
ST JOSEPH PRINT GROUP,6.17,117
ST LEONARD S COMMUNITY SERVICES,7,6
ST LEONARD S SOCIETY HAMILTON,4,10
ST LEONARDS HOUSE WINDSOR,4,7
ST LEONARDS PLACE PEEL,3,7
ST OPS TACTICAL TRAINING CANADA,0.61,18
STANFIELDS,1.57,1
STANLEY CONSTRUCTION,1.98,1
STANTEC,8.72,1569
STEPPED CARE SOLUTIONS,2.33,1
STERIS CANADA,5,97
STERLING FUELS,1.15,232
STIFF SENTENCES,2.58,28
STONEWORKS TECHNOLOGIES,7.01,391
STRATOS,5.02,181
STRONG BROS GENERAL CONTRACTING,0.3,1
STRYKER CANADA,5.28,20
SUBARU CANADA,1.5,163
SUMMIT CANADA DISTRIBUTORS,3.01,102
SUN LIFE ASSURANCE COMPANY,17.2,14
SUNCOR ENERGY,2,443
SUPER CHANNEL INTERNATIONAL,4,46
SUPERMAX HEALTHCARE CANADA,0.75,2
SUPREMEX,7.01,117
SUSE SOFTWARE SOLUTIONS CANADA,3,8
SUTHERLAND EXCAVATING,2.5,273
SWITCH HEALTH,1.28,7
SYM COMMUNICATIONS,4,41
SYMCOR,6,1
SYNERSOLUTIONS TECHNOLOGIES,5,9
SYSTEMATIX SOLUTIONS,7.55,143
SYSTEMS FOR RESEARCH,0.97,9
SYSTEMSCOPE,5.55,147
TAG HR,4.75,79
TALIGENT CONSULTING,5.64,81
TANGLE RIDGE CUSTOM CRUSHING,1.64,9
TANKATEK,1.06,39
TAURUS CONTRACTORS,1.68,21
TDI INTERNATIONAL,2.29,4
TECHNE SEATING COMPONENT,0.99,87
TECHNOREM,9.44,30
TECSIS,4.38,16
TEKNION,7.79,1404
TEKSYSTEMS CANADA,6.77,407
TELECOM COMPUTER SERVICES,5.08,439
TELEDYNE,5,70
TELESAT,11.22,50
TELUS CANADA,14.79,642
TENAQUIP,1.61,65
TERAMACH TECHNOLOGIES,7.01,758
TERLIN CONSTRUCTION,6.47,6
TERVITA,4.56,35
TES CONTRACT SERVICES,5.23,114
TESTFORCE SYSTEMS,5.01,247
TETRA TECH,8.53,197
THALES,3.19,55
THE AIM GROUP,5.28,473
THE CALGARY AIRPORT AUTHORITY,2.4,2
THE CANADA LIFE ASSURANCE COMPANY,9.59,8
THE HALIFAX COMPUTER CONSULTING GROUP,3.62,15
THE HALIFAX GROUP,5.01,21
THE IT BROKER,5.01,35
THE KTL GROUP,3.36,34
THE MASHA KRUPP TRANSLATION GROUP,6.14,197
THE MATHWORKS,10.2,160
THE RIGHT DOOR CONSULTING,5.01,229
THE STEVENS COMPANY,2.16,28
THE VCAN GROUP,5.05,29
THERMO FISHER SCIENTIFIC,9.08,1372
THG THE HISTORY GROUP,3,100
THINKON,4.09,7
THOMAS SCHMIDT,5.42,26
THOMSON REUTERS,5,144
THORNHILL MEDICAL,1.03,1
THRIVE HEALTH,2,2
THYSSENKRUPP ELEVATOR,12.99,92
TIREE,6,179
TISSEUR,3.76,9
TITAN BOATS,3.36,28
TITANIUM CONSTRUCTION,3.88,8
TOFCON CONSTRUCTION,1.75,2
TOROMONT,8,442
TORONTO BAIL PROGRAM,5.09,2
TORONTO STAMP,0.99,1
TOSHIBA CANADA,8.49,82
TOTEM OFFISOURCE,2.05,356
TOURE CLEANING SERVICES,6.09,31
TOYOTA,10.02,474
TPG TECHNOLOGY CONSULTANTS,7.55,425
TRACK24 CANADA,5.5,2
TRADUCTIONS PIERRE CLOUTIER,0.66,4
TRADUCTIONS SCRIPTIS,3.02,12
TRAINOR MECHANICAL CONTRACTORS,2.65,13
TRANSCONTINENTAL PRINTING,0.29,1
TRANSPOLAR TECHNOLOGY,5.04,79
TRANSTEC,5.05,3
TRANSWEST AIR,3,29
TRAUGOTT BUILDING CONTRACTORS,1.35,2
TRAYTOWN BUILDERS,3.2,12
TRIDENT CONSTRUCTION,2.09,3
TRIPLEWELL CANADA,1.48,1
TRM TECHNOLOGIES,5.51,151
TROY LIFE FIRE SAFETY,5,55
TRUDELL HEALTHCARE SOLUTIONS,1.81,1
TSUU T INA CONTRACTING GP,1.75,1
TULMAR SAFETY SYSTEMS,0.18,6
TUNDRA TECHNICAL SOLUTIONS,3,41
TURNER TOWNSEND,5.08,13
TURTLE ISLAND STAFFING,3,168
TYCO INTEGRATED FIRE SECURITY,6.25,144
TYR TACTICAL,0.4,2
UBIQUS CANADA,5.84,106
ULTIMATE CONSTRUCTION,1.45,4
ULTRA ELECTRONICS,4.07,6
UNISOFT INTERNATIONAL,5,2
UNISOURCE,1.04,20
UNISYNC GROUP,0.14,4
UNISYS CANADA,7.8,3
UNITED CHURCH HALFWAY HOMES,4,3
UNITED RENTALS OF CANADA,1.1,24
UNIVERSAL HELICOPTERS,4.76,36
UNIVERSITE LAVAL,4.88,109
UNIVERSITY OF ALBERTA,4.65,170
UNIVERSITY OF BRITISH COLUMBIA,5.6,104
UNIVERSITY OF CALGARY,5.59,66
UNIVERSITY OF GUELPH,5.52,117
UNIVERSITY OF NEW BRUNSWICK,8.34,70
UNIVERSITY OF OTTAWA,8.71,241
UNIVERSITY OF REGINA,4.85,34
UNIVERSITY OF SASKATCHEWAN,5.7,74
UNIVERSITY OF TORONTO,5.74,118
UNIVERSITY OF WATERLOO,7.76,112
UNIVERSITY OF WESTERN ONTARIO,10.01,53
UQSUQ,5.04,2
URBAN VALLEY TRANSPORT,1.51,1
UTILITIES KINGSTON,0.46,1
VAISALA CANADA,6.82,48
VALARD CONSTRUCTION,0.28,3
VALCOM CONSULTING,8.4,17
VANCOUVER AIRPORT AUTHORITY,0.92,1
VANCOUVER DRYDOCK COMPANY,1.05,6
VANCOUVER PILE DRIVING,5.01,11
VANCOUVER SHIPYARDS,5.7,16
VANRX PHARMASYSTEMS,3.31,5
VCI CONTROLS,5.84,21
VECTOR AEROSPACE,0.68,65
VERITAAQ TECHNOLOGY HOUSE,7.61,1168
VERITAS TECHNOLOGIES,3.39,9
VERREAULT NAVIGATION,0.94,10
VFA CANADA,8.01,12
VFS GLOBAL,7,11
VIA TRAVAIL,4,15
VIRTUAL POSSIBILITIES DIVISION,1,1
VISA SERVICES,5.68,1
VISIONTEC,9.72,17
VMWARE,3.01,115
VOYAGEUR TRANSPORTATION,2.01,2
VVI CONSTRUCTION,3,7
VWR INTERNATIONAL,5.41,604
W S MORGAN CONSTRUCTION,1.94,5
WAINWRIGHT MARINE SERVICES,1.07,14
WAJAX,5.05,401
WAMPUM RECORDS,2.5,55
WARTSILA,11.94,385
WASTE CONNECTIONS OF CANADA,5,27
WASTE MANAGEMENT OF CANADA,4.41,23
WATCHGUARD VIDEO,1.18,39
WATERS,5.13,295
WAZANA CLOTHING,1.51,1
WCG INTERNATIONAL CONSULTANTS,8.51,3
WEATHERHAVEN CANADA,0.37,4
WEBSTER ELECTRIC,1.09,40
WEIR CANADA,1.18,7
WESCO DISTRIBUTION CANADA,10.27,98
WEST COAST TUG BARGE,0.93,12
WEST WIND AVIATION,3,7
WESTBURY NATIONAL SHOW SYSTEMS,2.24,57
WESTCO CONSTRUCTION,3.2,5
WESTCOAST GENESIS SOCIETY,5,7
WESTCOMB OUTERWEAR,1.6,1
WESTJET,0.53,2
WESTOWER COMMUNICATIONS,3.09,103
WHITE BEAR INDUSTRIES,5,7
WHOOSHH INNOVATIONS,0.45,2
WILCO CONTRACTORS SOUTHWEST,4.02,10
WILD STONE ENGINEERING,1.94,4
WILDLIFE COMPUTERS,0.64,87
WILDSTONE CONSTRUCTION,4.36,10
WILLIAM J BARKER CLINICAL,3.67,4
WILLS TRANSFER,4.05,49
WINMAR CANADA INTERNATIONAL,0.34,1
WINTERSTEIGER,1.47,74
WM M 1993,1.99,6
WOLTERS KLUWER,7.01,104
WOOD CANADA,7.1,338
WOODWARD S OIL,0.91,49
WOOLLY MAMMOTH OUTERWEAR,2.81,2
WORKDYNAMICS TECHNOLOGIES,6.97,130
WORKPLACE HEALTH AND COST SOLUTIONS,5.07,16
WORLD FUEL SERVICES,2,4
WORLD UNIVERSITY CONSORTIUM,5.19,1
WORLD UNIVERSITY SERVICE OF CANADA,8.21,8
WORLDREACH SOFTWARE,4.5,11
WPP GROUP CANADA COMMUNICATIONS,1.85,64
WRIGHT CONSTRUCTION WESTERN,5.89,1
WSP,8.06,1011
WYSSEN AVALANCHE CONTROL,3.89,8
XEROX,11.51,1368
XPERA RISK MITIGATION INVESTIGATION,0.09,2
YAMAHA MOTORS CANADA,1.2,256
ZAYO CANADA,10.01,85
ZENITH PAVING,2.62,5
ZERNAM ENTERPRISE,3.99,41
ZODIAC HURRICANE TECHNOLOGIES,3.59,16
ZOLL MEDICAL CANADA,1.28,10
ZUTPHEN CONTRACTOR,1.74,23
ZYCOM,5.01,67
