d_vendor_name,min_overall_value,n
JANKEL TACTICAL SYSTEMS,10085.73,34
JASCO APPLIED SCIENCES CANADA,11505.90,68
JASTRAM ENGINEERING,11639.00,9
JEMTEC,3015882.00,3
JHT DEFENSE,11439.11,8
JIM PATTISON INDUSTRIES,1919.86,193
JJM CONSTRUCTION,580020.00,4
JOHN HOWARD SOCIETY,10744.89,136
JOHN WILEY SONS,11743.37,32
JOHNSON CONTROLS CANADA,10472.91,45
JOHNSON S CONSTRUCTION,25758.85,7
JONELJIM CONCRETE CONSTRUCTION,16980.90,25
JONES LANG LASALLE,10156.75,25
JOSEPH ELIE,0.00,128
JOSEPH RIBKOFF,49048335.01,1
JP2G CONSULTANTS,0.00,21
JUMEC CONSTRUCTION,0.00,14
K C E CONSTRUCTION,13296.15,5
K RITE CONSTRUCTION,270331.25,2
KANIYASIHK CULTURE CAMPS,10750.28,8
KANTER MARINE,22717.35,10
KASIAN ARCHITECTURE INTERIOR DESIGN,15708.00,33
KAYCOM,10444.86,6
KAYWAY INDUSTRIES,10947.98,104
KENN BOREK AIR,0.00,70
KETZA PACIFIC CONSTRUCTION,39857.19,9
KEYDATA ASSOCIATES,23788.31,15
KEYSIGHT TECHNOLOGIES CANADA,10101.64,65
KEYSTONE ENVIRONMENTAL,0.00,42
KEYSTONE SUPPLIES INTERNATIONAL,0.00,62
KF AEROSPACE,7103.63,36
KFN ENTERPRISES PARTNERSHIP,6426204.49,1
KIA CANADA,30384.57,53
KINETIC CONSTRUCTION,17746.94,5
KING HOE EXCAVATING,785803.71,3
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,3652826.60,2
KMS INDUSTRIES,13474.32,11
KONE,10350.00,60
KONGSBERG,0.00,108
KONICA MINOLTA BUSINESS SOLUTIONS,0.00,379
KONTZAMANIS GRAUMANN SMITH,10005.66,38
KPMG,0.00,213
KUBOTA CANADA,18273.02,39
KUDLIK CONSTRUCTION,14653.80,9
KWC ARCHITECTS,0.00,40
KYNDRYL CANADA,32488.60,37
L A HEBERT,1867683.55,4
L BREAU AND SONS,15861.06,19
L D WATSON E S MACEWEN ALLAN,35120.40,11
L P ROYER,23941.89,5
L W DENNIS CONTRACTING,153720.00,3
L3HARRIS,10495.43,78
LABORATOIRES OMEGA,20353.56,3
LANDCO CONSTRUCTION,42492.50,11
LANDFORM CIVIL INFRASTRUCTURES,4199621.63,2
LANGUAGE RESEARCH DEVELOPMENT GROUP,0.00,212
LANNICK CONTRACT SOLUTIONS,0.00,38
LANSDOWNE TECHNOLOGIES,-172462.50,78
LAPORTE EXPERTS CONSEILS,3927671.06,2
LARCH HALF WAY HOUSE OF SUDBURY,15000.00,5
LARRY PENNER ENTERPRISES,10091.64,23
LAURENTIAN TECHNOLOGIES,10848.00,31
LAVAL FORTIN,6908278.59,1
LE GROUPE DRUMCO CONSTRUCTION,5046990.31,1
LEAR CONSTRUCTION,9845365.95,1
LEC ENGINEERING CONTRACTING,26704487.43,1
LEDCOR CONSTRUCTION,7442140.48,1
LEEWAY YACHTS,300150.00,3
LEMAY,14946.75,9
LENGKEEK VESSEL ENGINEERING,0.00,57
LEO PISCES SERVICES GROUP,13503.50,29
LEONARDO,11800.00,5
LES CONSTRUCTIONS BELAND,1241008.93,3
LES CONSTRUCTIONS BINET,14436.51,5
LES CONSTRUCTIONS DES ILES,11405.52,8
LES ENTREPRISES FERVEL,13969.46,8
LES ENTREPRISES MICHAUDVILLE,5967749.10,1
LES ENTREPRISES P E C,11500.00,22
LES EQUIPEMENTS CLAUDE PEDNEAULT,24287.75,11
LES HUILES DESROCHES,10008.40,110
LES INSTALLATIONS ELECTRIQUES,10543.21,8
LES TRADUCTEURS REUNIS,11037.60,57
LES TRADUCTIONS TESSIER,0.00,104
LES TRAITEURS BYTOWN CATERING,23156.47,5
LESAGE DAVID DR,48264.00,8
LESLIE BENN CONTRACTING,75154.80,7
LEVAERO AVIATION,10065.17,225
LEVITT SAFETY,10402.30,51
LEXISNEXIS CANADA,10108.98,73
LIEBHERR CANADA,12928.30,9
LIFE TECHNOLOGIES,0.00,435
LIFELABS,0.00,9
LIFESPEAK,84750.00,4
LIKE 10,12535.50,18
LIONBRIDGE,0.00,472
LLOYD LIBKE LAW ENFORCEMENT SALES,19933.20,6
LLOYD S REGISTER CANADA,0.00,29
LOCKHEED MARTIN,8999.98,9
LOGISTIK UNICORP,13293.92,12
LOUIS W BRAY CONSTRUCTION,15158.95,10
LOWE MARTIN COMPANY,0.00,73
LRO STAFFING,7875.00,27
LS TELCOM,19587.42,3
LUMINA IT,0.00,315
LUMINULTRA TECHNOLOGIES,20706.00,3
LUXTON CONSTRUCTION,0.00,19
M D CHARLTON,1243.20,227
M D STEELE CONSTRUCTION,40044370.23,1
M R ENGINEERING,16100.00,13
M SULLIVAN SON,67461.00,3
MACDONALD DETTWILER AND ASSOCIATES,0.00,202
MACEWEN PETROLEUM,7730.10,71
MACK TRUCKS,198690.86,1
MACKINNON AND OLDING,10580.00,6
MACONNERIE DYNAMIQUE,12320.72,11
MACONNERIE RAINVILLE ET FRERES,43569.78,7
MADSEN DIESEL TURBINE,0.00,256
MAGAL S3 CANADA,312399.99,6
MAGELLAN AEROSPACE,183750.00,7
MAISON CHARLEMAGNE,1994992.20,4
MAISON CROSS ROADS DE LA SOCIETE,779790.88,4
MAISON DECISION HOUSE,10000.00,4
MAISON JEUN AIDE,1712640.10,3
MAISON JOINS TOI,897170.22,3
MAISON PAINCHAUD,3875163.24,2
MAKWA RESOURCING,0.00,77
MAN ENERGY SOLUTIONS CANADA,79629.73,1
MANIFEST COMMUNICATIONS,20905.00,6
MANITOBA HYDRO,10500.00,6
MANPOWER SERVICES CANADA,344.76,16
MANULIFE,0.00,10
MAPLE REINDERS CONSTRUCTORS,1477060.48,6
MAPLESOFT CONSULTING,0.00,370
MARINE CONTRACTORS,0.00,11
MARINE RECYCLING,34615.00,15
MARINENAV,0.00,83
MARITIME FENCE,12897.94,8
MARITIME FUELS,4275.94,99
MARRBECK CONSTRUCTION,8616643.69,1
MARTEC,62150.00,1
MARTECH ELECTRICAL SYSTEMS,111376.60,4
MASKIMO CONSTRUCTION,14823.64,7
MASONTECH,46490.87,4
MATCON ENVIRONMENTAL,0.00,20
MAVERIN,0.00,17
MAXIM 2000,1747879.31,5
MAXIMUS CANADA,4268195.32,1
MAXSYS STAFFING AND CONSULTING,0.00,186
MAXXAM ANALYTICS,0.00,114
MCAFEE INTERNATIONAL,399999.00,3
MCCARTHY TETRAULT,16950.00,7
MCCOLMAN SONS DEMOLITION,48313.15,2
MCELHANNEY ASSOCIATES,0.00,140
MCGREGOR GEOSCIENCE,740321.79,3
MCKESSON CANADA,10000.00,3340
MCKINSEY AND COMPANY,24860.00,12
MCKNIGHT ENTERPRISES,33093.48,10
MCNALLY CONSTRUCTION,79954.30,14
MCW CUSTOM ENERGY SOLUTIONS,0.00,17
MDOS CONSULTING,0.00,58
MEAL KIT SUPPLY CANADA,13439.04,1
MED ENG HOLDINGS,11325.20,27
MEDAVIE,14894858.66,3
MEDIA Q,2260.00,106
MEDTRONIC CANADA,11064.96,7
MEEWASINOTA CRF,3919402.16,3
MEGA TECH,8856.75,280
MEGALEXIS COMMUNICATIONS,10062.02,94
MEGGITT,16712.28,3
MERCK FROSST,10782.00,75
MERCURY MARINE,0.00,107
MERIDIAN MEDICAL TECHNOLOGIES,104628.27,5
MESSA COMPUTING,16314.38,38
METALCRAFT MARINE,24998.99,3
METOCEAN TELEMATICS,10120.00,32
METRO LOGISTICS,146074204.55,1
METRO PAVING AND ROAD BUILDING,51975.00,11
METRO SUPPLY CHAIN,20014657.76,1
MGIS,0.00,57
MICHAEL WAGER CONSULTING,39530.35,42
MICHANIE CONSTRUCTION,10294.30,34
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,6885497.06,1
MICHELIN,11472.62,6
MICRO FOCUS CANADA,12539.86,20
MICRONOSTYX,12603.90,6
MICROSOFT CANADA,-272885.17,947
MID CANADA MOD CENTER,10033.27,115
MID VALLEY CONSTRUCTION,203982.40,5
MIKE KELLY SONS,5336977.50,2
MILESTONE ENVIRONMENTAL,50650.60,19
MILLBROOK TACTICAL,0.00,60
MINDWIRE SYSTEMS,0.00,593
MINISTRY OF FINANCE,11081.18,36
MISHKUMI TECHNOLOGIES,0.00,140
MITSUBISHI MOTOR SALES,0.00,169
MNP,10080.00,151
MOBILE RESOURCE GROUP,10147.00,48
MODERN CONSTRUCTION,10007.13,5
MODIS CANADA,0.00,535
MOERAE SOLUTIONS,38646.00,16
MOMENTUM SOLUTIONS,277550.00,4
MONERIS,230424651.00,2
MOORE CANADA,0.00,66
MORIYAMA TESHIMA ARCHITECTS,41222.40,3
MORNEAU SHEPELL,10170.00,31
MORPHO CANADA,10031.01,67
MORRISON HERSHFIELD,0.00,95
MOSS DEVELOPMENT,684814.62,4
MOTOROLA SOLUTIONS CANADA,0.00,728
MTC LAW,10051798.65,1
MTM 2 CONTRACTING,402862.99,6
MTS ALLSTREAM,0.00,210
MUFACTOR,256160830.00,1
MUNICIPAL READY MIX,11493.68,14
MURRAYS WINDERMERE GARDENS,10000.00,4
MUSTANG HELICOPTERS,0.00,40
MUSTANG SURVIVAL,10134.60,66
MWCO,138839.50,1
N P A,70334.39,2
N12 CONSULTING,0.00,17
"NADINE INTERNATIONAL",39550.00,34
"NAHANNI CONSTRUCTION",11046173.83,4
"NANOMETRICS",11356.50,20
"NAPPAQ DESIGN CONSTRUCTION",47250.00,2
"NATCO PHARMA CANADA",190750.00,3
"NATIONAL ARTS CENTRE",10074.00,17
"NATIONAL STRUCTURES",780631.50,3
"NATIONS TRANSLATION GROUP",0.00,376
"NATIVE CLAN ORGANIZATION",1572460.30,3
"NATTIQ",0.00,90
"NAUT MAWT TRIBAL COUNCIL",13387.50,9
"NAV CANADA",10500.00,23
"NAVAMAR",0.00,12
"NAVPOINT CONSULTING GROUP",21814.65,23
"NAVTECH",10968.62,13
NDL CONSTRUCTION,959296.27,2
NELSON ENVIRONMENTAL REMEDIATION,93065.96,6
NEPTEC DESIGN GROUP,22264.32,12
NEPTUNE SECURITY SERVICES,45200.00,13
NEUROSCOPE,649700.00,3
NEWDOCK ST JOHN S DOCKYARD,0.00,37
NEWFOUND RECRUITING,0.00,82
NFOE,49439.25,9
NICHE TECHNOLOGY,1377757.57,2
NIMBLE INFORMATION STRATEGIES,0.00,60
NISHA TECHONOLOGIES,0.00,1439
NISSAN CANADA,19176.67,156
NITAM SOLUTIONS,10249.10,205
NITRO CONSTRUCTION,1146255.01,5
NOKIA CANADA,23661.38,1
NOLINOR AVIATION,22248.48,42
NORDMEC CONSTRUCTION,1380583.32,2
NORR,0.00,57
NORTAC DEFENCE,4152159.01,3
NORTH AMERICA CONSTRUCTION,29453441.65,1
NORTH ATLANTIC PETROLEUM,0.00,154
NORTH CARIBOO AIR,19376.70,86
NORTH COUNTRY MAINTENANCE,771713.25,2
NORTHEAST TREE TRIMMING,2522097.05,2
NORTHERN CONSTRUCTION,16100.00,22
NORTHERN CONTRACTING,8634311.83,1
NORTHFIELD METAL PRODUCTS,10093.65,112
NORTHROP GRUMMAN,24357.10,3
NORTHWEST MARINE TECHNOLOGY,0.00,17
NORTHWESTEL,0.00,25
NORTRAX CANADA,10416.20,30
NOTRA,12345.25,5
NOVA CONSTRUCTION,2956187.09,2
NOVA NETWORKS,10040.10,151
NOVA SCOTIA POWER,10350.00,36
NRNS,105768.00,14
NUA OFFICE,10937.34,106
NUCTECH COMPANY,512680.31,4
NUIX NORTH AMERICA,13340.00,39
NUMBER TEN ARCHITECTURAL GROUP,0.00,76
NUNA EAST,26583919.17,2
OEI KRUEGER,10018.80,476
OGILVY MONTREAL,12951.92,9
OKANAGAN AGGREGATES,12285.00,24
OKANAGAN HALFWAY HOUSE SOCIETY CRF,83483.40,5
OLIN,12121.20,14
OMNITECH ELECTRONICS,811148.63,1
ONIX NETWORKING CANADA,39889.00,3
ONLINE CONSTRUCTORS,12180.00,30
ONTARIO DENTAL ASSOCIATION,0.00,228
ONX ENTERPRISE SOLUTIONS,10082.33,269
OPENFRAME TECHNOLOGIES,9085.20,26
OPENTEXT,0.00,228
OPROMA,10188.23,38
OPSIS,0.00,56
OPTIV CANADA FEDERAL,10117.80,88
ORACLE CANADA,10019.32,449
ORANGUTECH,1953.00,165
OSKAR CONSTRUCTION,10363.50,21
OTIS ELEVATOR,10000.00,76
OTTAWA GREENBELT CONSTRUCTION,26484.38,5
OXFORD ECONOMICS USA,21415.00,17
P B ENTREPRISES,17064.59,7
P K WELDING FABRICATORS,1004370.95,2
PACIFIC INDUSTRIAL MARINE,0.00,42
PACIFIC SAFETY PRODUCTS,0.00,93
PACWILL ENVIRONMENTAL,11410.74,22
PAL AEROSPACE,10315.68,49
PALADIN GROUP,0.00,340
PALFINGER MARINE,0.00,71
PANALPINA,13002.26,109
PANASONIC,0.00,215
PARKER JOHNSTON INDUSTRIES,257668.27,1
PARKLAND INDUSTRIES,10048.03,268
PARKLAND REFINING,0.00,318
PARSONS CANADA,10079.60,55
PATLON AIRCRAFT INDUSTRIES,11203.95,8
PATTISON SIGN GROUP,10329.89,132
PAVEX,21053348.84,1
PCL CONSTRUCTORS,25436.25,75
PEERLESS GARMENTS,17797.50,15
PENN CONSTRUCTION CANADA,4129231.76,3
PENNECON,0.00,87
PEPCO,10025.47,79
PEPIN FORTIN EPOO CONSTRUCTION,6320111.25,1
PERCEPTICS,300866.70,4
PERSISTENT SYSTEMS,14530.89,4
PETER J KINDREE ARCHITECT,38081.00,15
PETER KIEWIT SONS,147000.00,3
PETERS CONSTRUCTION,10943.10,16
PETRO AIR SERVICES,24719.62,1
PETROVALUE PRODUCTS,10280.34,69
PHASELOCK SYSTEMS INTERNATIONAL,5446.60,244
PHOENIX DRUG ALCOHOL RECOVERY,36466.50,5
PIDHERNEY S,88200.00,3
PIONEER CONSTRUCTION,6953121.07,1
PITNEY BOWES,0.00,181
PLEIAD CANADA,0.00,101
PMB ELECTRICAL SERVICES,783.00,30
PMG TECHNOLOGIES,0.00,122
PODOLINSKY EQUIPMENT,11074.00,91
POINT HOPE MARITIME,12579.00,8
POLARIS INDUSTRIES,0.00,232
POMERLEAU,1142720.70,21
PORT OF SPAIN HOLDINGS,44257.51,17
PORTAGE PERSONNEL,0.00,69
POSTMEDIA NETWORK,10170.00,32
PR3 MEDIAS,66744.14,5
PRA,0.00,103
PRAGMATIC CONFERENCING,18124.75,3
PRECISION ADM,18283200.00,1
PRECISIONIT,1155.50,79
PRICEWATERHOUSE COOPERS,0.00,719
PRIMED MEDICAL PRODUCTS,147600.15,3
PRIMEX PROJECT MANAGEMENT,24048.98,3
PRINCE GEORGE ACTIVATOR,350154.00,6
PRINTERS PLUS,0.00,312
PROCOM CONSULTANTS,11382.53,175
PROLINE ADVANTAGE,373182500.00,1
PROLOGIC SYSTEMS,794.96,78
PROMAXIS,10505.25,62
PRONEX EXCAVATION,8503618.34,2
PROOF EXPERIENCES,0.00,13
PROQUEST,10100.00,81
PROSCI CANADA,0.00,272
PROTAK CONSULTING GROUP,14532.20,147
PROVENCHER ROY ASSOCIES,15192.85,19
PURELOGIC,10181.33,171
PURESPIRIT SOLUTIONS,10185.00,279
PYLON ELECTRONICS,10085.25,5
QATAR AIRWAYS,838851.74,6
QIAGEN,0.00,83
QINETIQ,56026.05,2
QM ENVIRONMENTAL,12600.00,26
QMR,0.00,805
QUANTUM MANAGEMENT SERVICES,74.95,140
QUARTZ NATURE,7872016.32,1
QUEEN S UNIVERSITY,11017.50,61
QUINAN CONSTRUCTION,190970.00,11
QUINTET CONSULTING,359.30,165
QUOREX CONSTRUCTION SERVICES,393467.61,9
QUORUM,4608081.78,3
R C M MODULAIRE,16460.97,2
R E GILMORE INVESTMENTS,8169.00,58
R J MACISAAC CONSTRUCTION,993738.00,3
R LAMBA FORENSIC PSYCH SERVICE,1500000.00,2
R R INTERNATIONAL TRANSLATION,0.00,192
R W TOMLINSON,246652.02,8
R2I,29778.00,9
RACEROCKS 3D,41052.90,1
RACING FORENSICS,4490901.84,2
RADIATION SOLUTIONS,11291.53,30
RAMPART INTERNATIONAL,10058.89,187
RANDSTAD,0.00,653
RAPISCAN SYSTEMS,12976.90,11
RATIO ARCHITECTURE INTERIOR DESIGN,11550.00,20
RAYMOND CHABOT GRANT THORNTON,0.00,364
RAYTHEON,25200.00,6
REACTOR ENGINEERING GROUP,48307500.00,1
REDACTED,0.00,7
REFORMAR,393750.00,7
REGENT CONSTRUCTION,15750.00,9
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,0.00,144
REPUBLIC ARCHITECTURE,0.00,71
RESIDENCE CARPEDIEM,1576924.20,5
RESOLVE SALVAGE FIRE AMERICAS,6510000.00,1
REVISION MILITARY,22602.70,2
RGB MEDIA,0.00,61
RHEA,0.00,77
RHEINMETALL,275324.05,4
RIGGS ENGINEERING,0.00,30
RIKJAK CONSTRUCTION,823668.93,1
RISK SCIENCES INTERNATIONAL,0.00,104
RJG CONSTRUCTION,0.00,44
ROBERTSON GEOCONSULTANTS,39826.20,6
ROBERTSON MARTIN ARCHITECTS,10859.30,24
ROCHE DIAGNOSTICS,0.00,61
ROCKWELL COLLINS CANADA,28445.63,8
ROGERS,0.00,85
ROHDE SCHWARZ CANADA,10955.35,29
ROLLING TIDES CONSTRUCTION,35369.05,2
RONDAR,0.00,28
ROSBOROUGH BOATS,11532.18,25
ROSCOE CONSTRUCTION,234962.49,6
ROSS AND ANGLIN,82490.00,4
ROUDEL MEDICAL AND SURGICAL,10158135.00,2
ROXBORO EXCAVATION,310625.50,3
RUSH TRUCK CENTRES OF CANADA,136726.61,3
RUSSEL METALS,10150.11,163
RUSSELL CHERNOFF RAND THOMPSON,15666.00,27
RYCOM BUILT ENVIRONMEN,102498.71,10
S P GLOBAL MARKET INTELLIGENCE,0.00,33
S W WEEKS CONSTRUCTION,9536869.10,1
SAAB,11295.21,3
SABA SOFTWARE,322206.88,4
SALESFORCE CANADA,10223.16,84
SALVATION ARMY,10418.63,59
SAMSON AND ASSOCIATES,10735.00,34
SANEXEN SERVICES ENVIRONMENTAUX,0.00,32
SANI SABLE LB,339723.79,14
SAP,10769.07,200
SAS INSTITUTE,0.00,202
SASKTEL,4497.19,19
SC2 0 STEPPED CARE SOLUTIONS,153734095.36,1
SCA SHIPPING CONSULTANTS ASSOCIATED,32348.55,4
SCALAR DECISIONS,11105.17,32
SCANSA CONSTRUCTION,38612.42,6
SCHOELER HEATON ARCHITECTS,11232.20,30
SDL INTERNATIONAL CANADA,10002.83,36
SEACOAST MARINE ELECTRONICS,23437.00,34
SEAGATE CONSTRUCTION,44334.80,13
SEASPAN VICTORIA SHIPYARDS,13440.00,5
SEAWATCH,17196.76,6
SEAWAVES DEVELOPMENT SERVICES,2763136.36,2
SECURE ENERGY ONSITE SERVICES,478437.02,2
SECUREKEY TECHNOLOGIES,24860.00,8
SECURIGUARD SERVICES,22685867.58,1
SED SYSTEMS,17381920.52,1
SELEX,36120.00,2
SEPW ARCHITECTURE,13823.25,30
SEQIRUS CANADA,74019.52,2
SERCO,0.00,6
SERVICE STAR BUILDING CLEANING,12729.45,13
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,785809.66,4
SETANTA CONTRACTING,11008.46,4
SEYEM,8911167.15,1
SGS AXYS ANALYTICAL SERVICES,10565.50,88
SHARP ELECTRONICS,0.00,460
SHAW CABLE,24592.05,4
SHELL CANADA PRODUCTS,0.00,16
SHELTER NOVA SCOTIA,1965919.54,3
SHI CANADA,10009.93,172
SHM CANADA CONSULTING,0.00,92
SHRMA ARCHITECTS IN JOINT VENTURE,1421612.32,2
SI SYSTEMS,0.00,1041
SIEMENS,0.00,354
SIERRA SYSTEMS GROUP,0.00,99
SIGNATURE SUR LE SAINT LAURENT,5031364910.17,1
SILLIKER,10125.96,73
SIMEX DEFENCE,10409.81,51
SIMPLEX GRINNELL,0.00,129
SKILLSOFT CANADA,11859.35,27
SKY CANOE,5578607.79,1
SLR CONSULTING CANADA,0.00,128
SMITHS DETECTION,10094.42,134
SMITHS MEDICAL CANADA,5773417.99,1
SNC LAVALIN,0.00,459
SOCIETE ELIZABETH FRY DU QUEBEC,1598479.71,3
SOCIETE EMMANUEL GREGOIRE,314454.00,10
SOFTCHOICE,0.00,890
SOFTSIM TECHNOLOGIES,1899.14,44
SOLOTECH,2126.47,141
SOLUDOC,0.00,32
SOMOS,68817.00,12
SOUTHWEST RESEARCH INSTITUTE,995.03,12
SPARTAN BIOSCIENCE,149048550.00,1
SPERRA CONSTRUCTION,19193.50,8
SPRINGER VERLAG,35361.47,14
SPRINGHILL CONSTRUCTION,12338610.36,1
SQUAMISH INDIAN BAND,13166906.55,3
SRA STAFFING SOLUTIONS,0.00,32
ST AIRBORNE SYSTEMS,11707.00,13
ST DENIS THOMPSON,14314.39,7
ST GELAIS MONTMINY ASSOCIES,15521.63,22
ST JOHN AMBULANCE,10120.00,13
ST JOSEPH PRINT GROUP,0.00,117
ST LEONARD S COMMUNITY SERVICES,877617.00,6
ST LEONARD S SOCIETY HAMILTON,23801.42,10
ST LEONARDS HOUSE WINDSOR,24998.99,7
ST LEONARDS PLACE PEEL,1648756.15,7
STANFIELDS,28046600.00,1
STANLEY CONSTRUCTION,1594492.28,1
STANTEC,0.00,1563
STERIS CANADA,10035.02,97
STERLING FUELS,0.00,232
STIFF SENTENCES,10170.00,27
STONEWORKS TECHNOLOGIES,10123.69,391
STRATOS,0.00,181
STRONG BROS GENERAL CONTRACTING,48477.00,1
STRYKER CANADA,11558.40,20
SUBARU CANADA,20668.20,163
SUMMIT CANADA DISTRIBUTORS,10093.65,102
SUN LIFE ASSURANCE COMPANY,11300.00,14
SUNCOR ENERGY,10004.51,442
SUPER CHANNEL INTERNATIONAL,19545.75,46
SUPERMAX HEALTHCARE CANADA,17279010.80,2
SUPREMEX,0.00,117
SUSE SOFTWARE SOLUTIONS CANADA,11536.59,8
SUTHERLAND EXCAVATING,0.00,273
SWITCH HEALTH HOLDINGS,0.00,7
SYM COMMUNICATIONS,14659.31,41
SYMCOR,30295865.00,1
SYNERSOLUTIONS TECHNOLOGIES,13558.87,9
SYSTEMATIX SOLUTIONS,11476.80,143
SYSTEMS FOR RESEARCH,10826.61,9
SYSTEMSCOPE,11932.80,147
TAG HR,0.00,79
TALIGENT CONSULTING,19775.00,81
TANGLE RIDGE CUSTOM CRUSHING,430563.00,9
TANKATEK,10381.87,39
TAURUS CONTRACTORS,46760.70,21
TDI INTERNATIONAL,1597254.82,4
TECHNE SEATING COMPONENT,12091.10,87
TECHNOREM,15519.10,30
TECSIS,24860.00,16
TEKNION,0.00,1404
TEKSYSTEMS CANADA,0.00,407
TELECOM COMPUTER SERVICES,10000.50,439
TELEDYNE,0.00,70
TELESAT,0.00,50
TELUS CANADA,0.00,642
TENAQUIP,10104.96,65
TERAMACH TECHNOLOGIES,0.00,757
TERLIN CONSTRUCTION,11127.22,6
TERVITA,0.00,35
TES CONTRACT SERVICES,11752.00,114
TESTFORCE SYSTEMS,8914.71,247
TETRA TECH,0.00,195
THALES,10426.54,55
THE AIM GROUP,0.00,473
THE CALGARY AIRPORT AUTHORITY,38419.50,2
THE CANADA LIFE ASSURANCE COMPANY,13377.05,8
THE FIA GROUP 4083261 CANADA,189254.29,5
THE HALIFAX COMPUTER CONSULTING GROUP,18786.25,15
THE HALIFAX GROUP,24973.00,21
THE IT BROKER,10174.84,35
THE KTL GROUP,13521.06,34
THE MASHA KRUPP TRANSLATION GROUP,0.00,197
THE MATHWORKS,8132.85,161
THE RIGHT DOOR CONSULTING,0.00,225
THE STEVENS COMPANY,10144.79,28
THE VCAN GROUP,11526.00,29
THERMO FISHER SCIENTIFIC,0.00,1372
THG THE HISTORY GROUP,0.00,100
THINK ON,16503.48,7
THOMAS SCHMIDT,13509.56,26
THOMSON REUTERS,0.00,144
THORNHILL MEDICAL,200451118.94,1
THRIVE HEALTH,706250.00,2
THYSSENKRUPP ELEVATOR,10007.96,92
TIREE,0.00,179
TISSEUR,589263.54,9
TITAN BOATS,11297.93,28
TITANIUM CONSTRUCTION,24408.75,8
TOFCON CONSTRUCTION,2401806.20,2
TOPFLIGHT ELITE TRAINING AND CHARTER SERVICES,16610.00,2
TOROMONT,0.00,441
TORONTO BAIL PROGRAM,5175296.00,2
TORONTO STAMP,27177969.00,1
TOSHIBA CANADA,0.00,82
TOTEM OFFISOURCE,1950.00,356
TOURE CLEANING SERVICES,10132.17,31
TOYOTA,0.00,475
TPG TECHNOLOGY CONSULTANTS,0.00,425
TRACK24 CANADA,6473479.24,2
TRADUCTIONS PIERRE CLOUTIER,10000.00,4
TRADUCTIONS SCRIPTIS,62086.50,12
TRAINOR MECHANICAL CONTRACTORS,27461.70,13
TRANSCONTINENTAL PRINTING,16418388.80,1
TRANSPOLAR TECHNOLOGY,10505.05,79
TRANSTEC,6782813.00,1
TRANSWEST AIR,11422.04,29
TRAUGOTT BUILDING CONTRACTORS,4226169.16,2
TRAYTOWN BUILDERS,11075.88,12
TRIDENT CONSTRUCTION,3204542.48,3
TRIPLEWELL CANADA,10577093.80,1
TRM TECHNOLOGIES,0.00,151
TROY LIFE FIRE SAFETY,10122.00,54
TRUDELL HEALTHCARE SOLUTIONS,18381302.09,1
TSUU T INA CONTRACTING GP,14859000.00,1
TT VISA SERVICES,10595951.00,1
TULMAR SAFETY SYSTEMS,10073.18,6
TUNDRA TECHNICAL SOLUTIONS,0.00,41
TURNER TOWNSEND,12365.00,13
TURTLE ISLAND STAFFING,0.00,168
TYCO INTEGRATED FIRE SECURITY,1465.36,143
TYR TACTICAL,19414.54,2
UBIQUS CANADA,94.44,106
ULTIMATE CONSTRUCTION,89085.81,4
ULTRA ELECTRONICS,19901.56,6
UNISOFT INTERNATIONAL,3734882.03,2
UNISOURCE,11945.22,20
UNISYNC GROUP,10337.47,4
UNISYS CANADA,628361.75,3
UNITED CHURCH HALFWAY HOMES,391110.00,3
UNITED RENTALS OF CANADA,10427.08,24
UNIVERSAL HELICOPTERS,10420.15,36
UNIVERSITE LAVAL,0.00,109
UNIVERSITY OF ALBERTA,0.00,170
UNIVERSITY OF BRITISH COLUMBIA,8241.66,104
UNIVERSITY OF CALGARY,10237.50,66
UNIVERSITY OF GUELPH,10019.00,117
UNIVERSITY OF NEW BRUNSWICK,10301.76,70
UNIVERSITY OF OTTAWA,0.00,199
UNIVERSITY OF REGINA,10312.38,34
UNIVERSITY OF SASKATCHEWAN,9750.00,74
UNIVERSITY OF TORONTO,0.00,97
UNIVERSITY OF WATERLOO,0.00,112
UNIVERSITY OF WESTERN ONTARIO,10867.50,53
UQSUQ,608485.50,2
URBAN VALLEY TRANSPORT,16580000.00,1
UTILITIES KINGSTON,11841.37,1
VAISALA CANADA,11184.74,48
VALARD CONSTRUCTION,10500.00,3
VALCOM CONSULTING,12526.77,17
VANCOUVER AIRPORT AUTHORITY,16206589.80,1
VANCOUVER DRYDOCK COMPANY,1888833.18,6
VANCOUVER PILE DRIVING,0.00,11
VANCOUVER SHIPYARDS,0.00,16
VANRX PHARMASYSTEMS,13947.84,5
VCI CONTROLS,11237.85,21
VECTOR AEROSPACE,10531.57,65
VERITAAQ TECHNOLOGY HOUSE,-86237.00,1169
VERITAS CANADA,12767.64,6
VERITAS TECHNOLOGIES,10596.89,3
VERREAULT NAVIGATION,543438.98,10
VFA CANADA,10640.45,12
VFS GLOBAL,6544313.00,10
VIA TRAVAIL,10113.82,15
VIRTUAL POSSIBILITIES DIVISION,172977959.20,1
VISA SERVICES,16198632.00,1
VISIONTEC,10740.65,17
VMWARE,10954.53,115
VOYAGEUR TRANSPORTATION,88140.00,2
